filename	acq_time	n_epochs	duration_s	task_code	paradigm
eeg/sub-018_ses-02_task-restEC_eeg.vhdr	n/a	30	120.0	1	resting-state
eeg/sub-018_ses-02_task-restEO_eeg.vhdr	n/a	27	108.0	2	resting-state
eeg/sub-018_ses-02_task-vep_eeg.vhdr	n/a	59	236.0	3	transient-state
eeg/sub-018_ses-02_task-aep_eeg.vhdr	n/a	56	224.0	4	transient-state
eeg/sub-018_ses-02_task-sep_eeg.vhdr	n/a	52	208.0	5	transient-state
eeg/sub-018_ses-02_task-ssvep_eeg.vhdr	n/a	10	40.0	6	steady-state
eeg/sub-018_ses-02_task-ssaep_eeg.vhdr	n/a	34	136.0	7	steady-state
eeg/sub-018_ses-02_task-sssep_eeg.vhdr	n/a	26	104.0	8	steady-state
eeg/sub-018_ses-02_task-p300_eeg.vhdr	n/a	33	132.0	9	cognitive-oddball
eeg/sub-018_ses-02_task-motorFoot_eeg.vhdr	n/a	77	308.0	10	motor-execution
eeg/sub-018_ses-02_task-motorRHand_eeg.vhdr	n/a	65	260.0	11	motor-execution
eeg/sub-018_ses-02_task-motorLHand_eeg.vhdr	n/a	66	264.0	12	motor-execution
eeg/sub-018_ses-02_task-ssvepSA_eeg.vhdr	n/a	22	88.0	13	ssvep-selective-attention
